screen_name,phi,merge
SenDeanHeller,-0.04762,sendeanheller
SenToomey,-0.02314,sentoomey
sendavidperdue,0.0462,sendavidperdue
JerryMoran,0.09311,jerrymoran
SenThomTillis,0.10088,senthomtillis
senrobportman,0.10326,senrobportman
SenShelby,0.18467,senshelby
SenSasse,0.19292,sensasse
SenJohnHoeven,0.2191,senjohnhoeven
SenatorLankford,0.21964,senatorlankford
McConnellPress,0.25742,mcconnellpress
SenAlexander,0.26554,senalexander
SenToddYoung,0.28696,sentoddyoung
SenJohnKennedy,0.30717,senjohnkennedy
SenJohnBarrasso,0.36068,senjohnbarrasso
MikeCrapo,0.36874,mikecrapo
SenatorEnzi,0.37355,senatorenzi
SenatorRisch,0.39354,senatorrisch
SenatorIsakson,0.41176,senatorisakson
SenatorRounds,0.44793,senatorrounds
SenatorWicker,0.45146,senatorwicker
SenPatRoberts,0.47334,senpatroberts
RoyBlunt,0.49625,royblunt
ChuckGrassley,0.52102,chuckgrassley
JohnBoozman,0.53819,johnboozman
senorrinhatch,0.54667,senorrinhatch
SenRonJohnson,0.58279,senronjohnson
GrahamBlog,0.7325,grahamblog
SenJohnThune,0.75306,senjohnthune
InhofePress,0.81133,inhofepress
SenRubioPress,0.87678,senrubiopress
SenTomCotton,0.88311,sentomcotton
SenatorTimScott,0.95536,senatortimscott
JohnCornyn,1.04253,johncornyn
SenMikeLee,1.37357,senmikelee
SenTedCruz,1.41863,sentedcruz
