""	"candidate_id"	"partyfull"	"name"	"STATE"	"TwitterA"	"TwitterB"	"TwitterA_id"	"TwitterB_id"
284	61631	"Republican"	"Martha McSally"	"AZ"	"MarthaMcSally"	"MarthaMcSallyAZ"	""	""
285	65996	"Democrat"	"Mary ""MJ"" Hegar"	"TX"	"jhegar"	""	""	""
286	69470	"Democrat"	"Matt Lieberman"	"GA"	"liebermanforga"	""	""	""
287	63731	"Republican"	"Matt Rosendale"	"MT"	"MattForMontana"	"RepRosendale"	""	""
288	55790	"Independent"	"Max Linn"	"ME"	""	""	""	""
289	69221	"Democrat"	"Merav Ben-David"	"WY"	"MBenDavid2020"	""	""	""
290	55847	"Democrat"	"Mike Cooney"	"MT"	"CooneyforMT"	""	""	""
291	27501	"Democrat"	"Mike Espy"	"MS"	"MikeEspyMS"	""	""	""
292	67742	"Republican"	"Mike Parson"	"MO"	"GovParsonMO"	"keparson"	""	""
293	580	"Republican"	"Mike Rounds"	"SD"	"SenatorRounds"	"RoundsforSenate"	""	""
294	69042	"Republican"	"Miriam Berry"	"VT"	""	""	""	""
295	210	"Republican"	"Mitch McConnell"	"KY"	"LeaderMcConnell"	""	""	""
296	67832	"Libertarian"	"Nadine Frost"	"DE"	"nadine4delaware"	""	""	""
297	69309	"Democrat"	"Nicole Galloway"	"MO"	"nicolergalloway"	""	""	""
298	66286	"Democrat"	"Paula Jean Swearengin"	"WV"	"aulajean2020"	""	""	""
299	66398	"Democrat"	"Paulette Jordan"	"ID"	"PauletteEJordan"	""	""	""
